"Date","MinTemp.C","MaxTemp.C","Rainfall.mm","MaxWindGustDir","MaxWindGustSpeed.kmh","MaxWindGustTime","Temp9am.C","Humidity9am.perc","WindDir9am","WindSpeed9am.kmh","Pressure9am.hPa","Temp3pm.C","Humidity3pm.perc","WindDir3pm","WindSpeed3pm.kmh","Pressure3pm.hPa","Year","Month","Day"
2023-01-01,18.4,35.9,0,"N",31,12H 47M 0S,24.6,65,"NNE",7,1010.8,35.3,34,"NW",11,1007.4,2023,1,1
2023-01-02,22.1,32,6.4,"N",52,8H 16M 0S,28.6,47,"N",22,1005.9,21.1,80,"SSW",13,1006.6,2023,1,2
2023-01-03,15.2,21.1,0.2,"S",37,18H 34M 0S,17.4,68,"SSE",11,1010.2,20.5,58,"SSW",17,1008.9,2023,1,3
2023-01-04,15,18.7,0,"SW",52,15H 31M 0S,15.6,62,"SSW",13,1010.7,16,76,"SSW",22,1011.2,2023,1,4
2023-01-05,14.1,21.6,1,"S",39,12H 0M 0S,18.4,66,"SE",13,1014.9,20.8,65,"S",15,1014.3,2023,1,5
2023-01-06,13.3,25.6,0,"ESE",37,9H 5M 0S,18.4,65,"ESE",15,1017.7,25.4,39,"SE",17,1015,2023,1,6
2023-01-07,13.2,30.2,0,"SSE",28,17H 27M 0S,18.5,66,"NE",9,1015.1,28.8,34,"S",11,1011.4,2023,1,7
2023-01-08,14.9,31.9,0,"SE",24,17H 49M 0S,20.3,67,"NE",4,1012.7,30,28,"SSW",11,1010.7,2023,1,8
2023-01-09,18.4,26.2,0,"SSW",37,17H 41M 0S,24.3,46,"S",6,1011.9,21.2,75,"S",17,1013.3,2023,1,9
2023-01-10,16.9,21.6,0,"SSW",35,15H 49M 0S,17.4,66,"SSE",9,1016.4,20.7,63,"SSW",15,1013.8,2023,1,10
2023-01-11,15.9,29.9,0,"SSW",28,14H 3M 0S,20.4,71,"NE",6,1011.4,27.9,49,"SSW",13,1008.6,2023,1,11
2023-01-12,18.7,24,0,"SSW",28,18H 11M 0S,18.7,87,"WSW",7,1014,22.9,73,"SSW",13,1013.9,2023,1,12
2023-01-13,18,24.2,0,"S",31,17H 9M 0S,20.4,76,"SSW",6,1017.1,23.3,70,"SSW",15,1015.5,2023,1,13
2023-01-14,20.2,37.6,0,"NNW",43,13H 40M 0S,23.3,75,"NE",6,1012.8,35.4,26,"NNW",15,1007.4,2023,1,14
2023-01-15,18,20.6,0,"SSW",35,7H 23M 0S,18.4,72,"S",13,1018.1,20.3,58,"SSW",15,1019.7,2023,1,15
2023-01-16,15.1,27,0,"SSW",24,16H 28M 0S,16.4,72,"NE",9,1019.5,25.2,50,"SSW",15,1017.1,2023,1,16
2023-01-17,16.3,37.2,0,"NW",48,18H 41M 0S,26.3,54,"N",20,1015.3,35.6,31,"N",20,1009.8,2023,1,17
2023-01-18,19.8,19.9,6,"S",41,18H 43M 0S,19.9,94,"SW",9,1010.9,16.7,85,"S",15,1012.6,2023,1,18
2023-01-19,14.7,19.3,4.6,"SSW",41,23H 50M 0S,16.3,56,"S",15,1016.8,17.5,53,"S",17,1016.7,2023,1,19
2023-01-20,15.5,21,0,"SSW",35,17H 20M 0S,17.5,50,"ESE",9,1017.8,20.3,49,"SSW",13,1016,2023,1,20
2023-01-21,13.8,23,0,"SSW",43,16H 19M 0S,17.2,76,"NW",2,1016.3,22.1,66,"SSW",15,1014.2,2023,1,21
2023-01-22,17.2,23.4,0,"SSW",35,14H 17M 0S,20,72,"SE",9,1017.1,22.6,70,"SSW",20,1015.1,2023,1,22
2023-01-23,18.2,28,0,"S",24,15H 17M 0S,20.1,69,"NW",7,1016.1,26.3,46,"SSW",11,1012.7,2023,1,23
2023-01-24,17.6,28.6,0,"SSW",41,14H 42M 0S,20.4,66,"NNE",7,1011.8,28.4,36,"NW",9,1009.2,2023,1,24
2023-01-25,17.2,30,1.8,"SSW",35,18H 31M 0S,20.3,77,"NNE",7,1012.1,27.6,50,"SW",7,1009.2,2023,1,25
2023-01-26,15.9,21.6,0,"SSW",35,13H 40M 0S,18.4,69,"SSW",9,1015.7,21.2,56,"SSW",15,1016.2,2023,1,26
2023-01-27,13.5,26.8,0,"S",24,16H 49M 0S,17.1,59,"E",9,1016.3,24.2,45,"SSW",11,1012.9,2023,1,27
2023-01-28,15.2,34.2,0,"N",43,8H 57M 0S,25.5,32,"N",11,1007.8,33.6,18,"NW",11,1006.7,2023,1,28
2023-01-29,19.5,23.8,0.2,"SSW",24,3H 24M 0S,20.7,84,NA,0,1012.7,22.1,77,"SSW",11,1012.5,2023,1,29
2023-01-30,17.9,21.7,0,"S",33,15H 47M 0S,18.3,71,"S",9,1014.7,20.4,63,"S",13,1012.2,2023,1,30
2023-01-31,15.6,22.2,0,"S",30,16H 0M 0S,18.7,67,"SE",7,1009.8,21.1,51,"SSW",13,1007.5,2023,1,31
2023-02-01,14.9,21,0,"SSW",39,10H 42M 0S,18.1,61,"WSW",7,1006.7,18.2,65,"SSW",13,1006.6,2023,2,1
2023-02-02,14.2,21.3,0.2,"NNW",56,13H 11M 0S,15.6,47,"NW",11,998.1,20.2,39,"NNW",28,990.3,2023,2,2
2023-02-03,11.4,18.8,11.2,"WSW",41,15H 42M 0S,13.4,61,"NNW",20,993.2,17.7,44,"SW",11,993.7,2023,2,3
2023-02-04,11.7,20.7,6.6,"SSW",31,12H 35M 0S,14.8,86,"WNW",11,1004,19.6,58,"SSW",11,1008.3,2023,2,4
2023-02-05,13.8,19.8,1.2,"SSE",26,9H 53M 0S,16.5,69,"W",6,1017.4,19,59,"S",7,1017.7,2023,2,5
2023-02-06,16,20.9,0,"SSW",28,17H 42M 0S,16.8,75,"W",9,1020.5,19.4,60,"S",13,1020.2,2023,2,6
2023-02-07,16.6,20.4,0,"SSW",37,13H 17M 0S,17.5,64,"SSE",11,1020,19.8,60,"SSW",15,1018.2,2023,2,7
2023-02-08,15,22.2,0,"S",33,16H 28M 0S,17.6,64,"S",7,1017.3,20.2,64,"SSW",15,1014.8,2023,2,8
2023-02-09,13.2,26.4,0.2,"SSW",26,12H 49M 0S,17.5,79,"ENE",7,1010.9,25.1,56,"SSW",13,1007.4,2023,2,9
2023-02-10,16.2,26.7,0,"SSW",28,16H 2M 0S,19,85,NA,0,1007.3,24.3,61,"SSW",15,1004.2,2023,2,10
2023-02-11,15.8,25.7,0,"SSW",41,13H 40M 0S,20.2,79,NA,0,1000.5,22.3,65,"SSW",22,1001.9,2023,2,11
2023-02-12,17.3,20.7,0,"S",46,13H 27M 0S,18.6,65,"WSW",9,1010,19.9,47,"S",17,1012.3,2023,2,12
2023-02-13,15.8,20.9,0,"SSW",37,15H 2M 0S,17.1,55,"SSE",13,1015.1,19.9,55,"SSW",15,1014.3,2023,2,13
2023-02-14,12,22.2,0,"SSW",37,14H 26M 0S,17.1,67,"ESE",9,1015.7,21.2,52,"SSW",17,1013.8,2023,2,14
2023-02-15,12.6,32.4,0,"N",31,9H 13M 0S,17.2,71,"NNE",7,1013.9,31.4,31,"WNW",11,1011.1,2023,2,15
2023-02-16,17.1,37.2,0,"NNW",33,10H 36M 0S,23.1,55,"NE",9,1013.3,35.4,24,"NNE",7,1010.3,2023,2,16
2023-02-17,22.8,40.5,0,"NNW",46,13H 58M 0S,29.9,33,"N",19,1010,39.6,16,"NNW",22,1005.9,2023,2,17
2023-02-18,17.4,24.9,0,"SSW",31,16H 47M 0S,18.1,68,"SSW",9,1014.3,22.7,50,"SSW",9,1015.2,2023,2,18
2023-02-19,14.9,27.9,0,"S",30,17H 45M 0S,19.3,71,"SE",4,1019,25.5,35,"SSW",9,1017.5,2023,2,19
2023-02-20,14.9,24,0,"SSW",30,15H 18M 0S,18.6,83,NA,0,1020.3,23.4,60,"SSW",11,1020.7,2023,2,20
2023-02-21,17.7,22.2,0,"SSE",39,15H 40M 0S,18.3,70,"SSE",13,1027.5,21.5,40,"SSE",13,1027.8,2023,2,21
2023-02-22,14.6,30.6,0,"SSE",33,17H 13M 0S,17.6,67,NA,0,1024.8,27.3,44,"SSW",13,1021.2,2023,2,22
2023-02-23,17.5,32.4,0,"N",44,8H 11M 0S,21.6,45,"N",22,1021.1,30.4,32,"NNE",13,1018.7,2023,2,23
2023-02-24,19.6,32.3,0,"NNW",46,12H 16M 0S,23.1,48,"N",19,1017.6,30.6,30,"N",22,1014.1,2023,2,24
2023-02-25,22.2,26.7,0,"N",28,5H 48M 0S,25,37,"N",17,1012.4,24.4,43,"WSW",9,1012.1,2023,2,25
2023-02-26,15.7,23.4,1.4,"SSW",30,14H 39M 0S,17.1,68,NA,0,1012.5,22.2,54,"S",9,1011.4,2023,2,26
2023-02-27,16.3,20.2,2.6,"SSW",33,12H 31M 0S,17.9,77,"S",13,1015.4,18.9,72,"S",11,1015.9,2023,2,27
2023-02-28,16.5,17.6,0.2,"SSW",28,18H 46M 0S,17.1,72,"SSE",6,1013.1,16,97,"SSW",9,1011.4,2023,2,28
2023-03-01,14.3,21.1,3.2,"SSW",28,10H 36M 0S,14.9,94,"W",7,1013.3,20.7,61,"SSW",9,1013.2,2023,3,1
2023-03-02,14.5,21.7,0.8,"SSW",26,14H 14M 0S,16.1,73,"WSW",9,1014.8,21.2,59,"SW",9,1014.3,2023,3,2
