"Date","Temp.C","Humidity.perc","WindDir","WindSpeed.kmh","Pressure.hPa","Time"
2023-01-01,24.6,65,"NNE",7,1010.8,"Morning"
2023-01-02,28.6,47,"N",22,1005.9,"Morning"
2023-01-03,17.4,68,"SSE",11,1010.2,"Morning"
2023-01-04,15.6,62,"SSW",13,1010.7,"Morning"
2023-01-05,18.4,66,"SE",13,1014.9,"Morning"
2023-01-06,18.4,65,"ESE",15,1017.7,"Morning"
2023-01-07,18.5,66,"NE",9,1015.1,"Morning"
2023-01-08,20.3,67,"NE",4,1012.7,"Morning"
2023-01-09,24.3,46,"S",6,1011.9,"Morning"
2023-01-10,17.4,66,"SSE",9,1016.4,"Morning"
2023-01-11,20.4,71,"NE",6,1011.4,"Morning"
2023-01-12,18.7,87,"WSW",7,1014,"Morning"
2023-01-13,20.4,76,"SSW",6,1017.1,"Morning"
2023-01-14,23.3,75,"NE",6,1012.8,"Morning"
2023-01-15,18.4,72,"S",13,1018.1,"Morning"
2023-01-16,16.4,72,"NE",9,1019.5,"Morning"
2023-01-17,26.3,54,"N",20,1015.3,"Morning"
2023-01-18,19.9,94,"SW",9,1010.9,"Morning"
2023-01-19,16.3,56,"S",15,1016.8,"Morning"
2023-01-20,17.5,50,"ESE",9,1017.8,"Morning"
2023-01-21,17.2,76,"NW",2,1016.3,"Morning"
2023-01-22,20,72,"SE",9,1017.1,"Morning"
2023-01-23,20.1,69,"NW",7,1016.1,"Morning"
2023-01-24,20.4,66,"NNE",7,1011.8,"Morning"
2023-01-25,20.3,77,"NNE",7,1012.1,"Morning"
2023-01-26,18.4,69,"SSW",9,1015.7,"Morning"
2023-01-27,17.1,59,"E",9,1016.3,"Morning"
2023-01-28,25.5,32,"N",11,1007.8,"Morning"
2023-01-29,20.7,84,NA,0,1012.7,"Morning"
2023-01-30,18.3,71,"S",9,1014.7,"Morning"
2023-01-31,18.7,67,"SE",7,1009.8,"Morning"
2023-02-01,18.1,61,"WSW",7,1006.7,"Morning"
2023-02-02,15.6,47,"NW",11,998.1,"Morning"
2023-02-03,13.4,61,"NNW",20,993.2,"Morning"
2023-02-04,14.8,86,"WNW",11,1004,"Morning"
2023-02-05,16.5,69,"W",6,1017.4,"Morning"
2023-02-06,16.8,75,"W",9,1020.5,"Morning"
2023-02-07,17.5,64,"SSE",11,1020,"Morning"
2023-02-08,17.6,64,"S",7,1017.3,"Morning"
2023-02-09,17.5,79,"ENE",7,1010.9,"Morning"
